model,tag,config_id,fold,n_train,n_test,n_estimators,max_depth,min_samples_leaf,mae,rmse,row_type,is_best,mae_mean,mae_std,rmse_mean,rmse_std
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf1,2.0,128756.0,32189.0,300,20,1,0.5376209993701303,0.7762204623904583,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf1,3.0,128756.0,32189.0,300,20,1,0.5342480394307292,0.7709851713354141,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf1,4.0,128756.0,32189.0,300,20,1,0.5344088733753568,0.776011302350046,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,0.0,128756.0,32189.0,300,20,5,0.5377667285238371,0.776935033040019,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,1.0,128756.0,32189.0,300,20,5,0.5437278666179779,0.777755567171011,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,2.0,128756.0,32189.0,300,20,5,0.5412757630175884,0.7771584678817234,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,3.0,128756.0,32189.0,300,20,5,0.5399635263708894,0.7756974149405659,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,4.0,128756.0,32189.0,300,20,5,0.5379666956760798,0.7776249103256863,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,0.0,128756.0,32189.0,300,20,10,0.5445694976033281,0.7845772849830996,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,1.0,128756.0,32189.0,300,20,10,0.5502427410157126,0.7844632424717168,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,2.0,128756.0,32189.0,300,20,10,0.5477470283615932,0.7838268368078973,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,3.0,128756.0,32189.0,300,20,10,0.5464374533094444,0.7822564518115914,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,4.0,128756.0,32189.0,300,20,10,0.5447734718308714,0.7845197315990008,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,0.0,128756.0,32189.0,300,40,1,0.4672387027443974,0.7370095056248479,fold,True,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,1.0,128756.0,32189.0,300,40,1,0.4664239486433789,0.7298729743364853,fold,True,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,2.0,128756.0,32189.0,300,40,1,0.46316069360698736,0.7265141562056079,fold,True,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,3.0,128756.0,32189.0,300,40,1,0.4628731247763116,0.7261264234049057,fold,True,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,4.0,128756.0,32189.0,300,40,1,0.4643749617156209,0.7308716688481868,fold,True,,,,
